"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Detailed sources of revenue, not-for-profit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Alberta","2016A000248","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579316","10.1.3","24081.4","","","","1"
"2016","Alberta","2016A000248","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579317","10.1.4","28614.7","","","","1"
"2016","Alberta","2016A000248","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579318","10.1.5","4.9","","","","1"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579319","11.1.1","40986.6","","","","1"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579320","11.1.2","7250.6","","","","1"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579321","11.1.3","23775.7","","","","1"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579322","11.1.4","25435.5","","","","1"
"2016","British Columbia","2016A000259","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579323","11.1.5","","x","","","1"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579324","12.1.1","","x","","","1"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579325","12.1.2","","x","","","1"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579326","12.1.3","","x","","","1"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579327","12.1.4","","x","","","1"
"2016","Yukon","2016A000260","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579328","12.1.5","0.0","","","","1"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579329","13.1.1","","..","","","1"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579330","13.1.2","","..","","","1"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579331","13.1.3","","..","","","1"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579332","13.1.4","","..","","","1"
"2016","Northwest Territories","2016A000261","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579333","13.1.5","","..","","","1"
"2016","Nunavut","2016A000262","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579334","14.1.1","0.0","","","","1"
"2016","Nunavut","2016A000262","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579335","14.1.2","","x","","","1"
"2016","Nunavut","2016A000262","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579336","14.1.3","","x","","","1"
"2016","Nunavut","2016A000262","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579337","14.1.4","0.0","","","","1"
