"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Performances and attendance, not-for-profit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579187","1.1.1","47112","","","","0"
"2018","Canada","2016A000011124","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579188","1.1.2","13760209","","","","0"
"2018","Canada","2016A000011124","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579189","1.1.3","292","","","","0"
"2018","Canada","2016A000011124","Theatre (except musical) companies [711111]","Total performances","Number","223","units","0","v107579190","1.2.1","34035","","","","0"
"2018","Canada","2016A000011124","Theatre (except musical) companies [711111]","Total attendance","Number","223","units","0","v107579191","1.2.2","7292855","","","","0"
"2018","Canada","2016A000011124","Theatre (except musical) companies [711111]","Average attendance per performance","Number","223","units","0","v107579192","1.2.3","214","","","","0"
"2018","Canada","2016A000011124","Musical theatre and opera companies [711112]","Total performances","Number","223","units","0","v107579193","1.3.1","2693","","","","0"
"2018","Canada","2016A000011124","Musical theatre and opera companies [711112]","Total attendance","Number","223","units","0","v107579194","1.3.2","994720","","","","0"
"2018","Canada","2016A000011124","Musical theatre and opera companies [711112]","Average attendance per performance","Number","223","units","0","v107579195","1.3.3","369","","","","0"
"2018","Canada","2016A000011124","Dance companies [711120]","Total performances","Number","223","units","0","v107579196","1.4.1","2767","","","","0"
"2018","Canada","2016A000011124","Dance companies [711120]","Total attendance","Number","223","units","0","v107579197","1.4.2","1116969","","","","0"
"2018","Canada","2016A000011124","Dance companies [711120]","Average attendance per performance","Number","223","units","0","v107579198","1.4.3","404","","","","0"
"2018","Canada","2016A000011124","Musical groups and artists [711130]","Total performances","Number","223","units","0","v107579199","1.5.1","6332","","","","0"
"2018","Canada","2016A000011124","Musical groups and artists [711130]","Total attendance","Number","223","units","0","v107579200","1.5.2","3929482","","","","0"
"2018","Canada","2016A000011124","Musical groups and artists [711130]","Average attendance per performance","Number","223","units","0","v107579201","1.5.3","621","","","","0"
"2018","Canada","2016A000011124","Other performing arts companies [711190]","Total performances","Number","223","units","0","v107579202","1.6.1","1285","","","","0"
"2018","Canada","2016A000011124","Other performing arts companies [711190]","Total attendance","Number","223","units","0","v107579203","1.6.2","426183","","","","0"
"2018","Canada","2016A000011124","Other performing arts companies [711190]","Average attendance per performance","Number","223","units","0","v107579204","1.6.3","332","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579205","2.1.1","811","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579206","2.1.2","132508","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579207","2.1.3","163","","","","0"
"2018","Prince Edward Island","2016A000211","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579208","3.1.1","141","","","","0"
"2018","Prince Edward Island","2016A000211","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579209","3.1.2","14752","","","","0"
